Region,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Région lémanique,2022,3.87927242988543,3.70929052166616,3.42733451726327,,,,,,,,,
Vaud,2022,3.72587884940127,3.61594750236942,3.41532880778612,,,,,,,,,
Valais,2022,3.53391335525689,3.02466680485605,2.44875321430372,,,,,,,,,
Genève,2022,4.38691292961429,4.36100755708289,4.1545741197233,,,,,,,,,
Espace Mittelland,2022,2.52365192097786,2.43274114522216,2.25862555002482,,,,,,,,,
Berne,2022,2.07240385557001,1.99685930526993,1.85049173906353,,,,,,,,,
Fribourg,2022,2.85732431121683,2.71818202812868,2.52130435786702,,,,,,,,,
Soleure,2022,2.71031326997536,2.6618318025144,2.49845589846785,,,,,,,,,
Neuchâtel,2022,3.71368158936985,3.54624392233468,3.24464145799569,,,,,,,,,
Jura,2022,4.20754665127656,4.12509962349191,3.90524088273284,,,,,,,,,
Suisse du Nord-Ouest,2022,2.9029854295816,2.84416469804829,2.69132592392942,,,,,,,,,
Bâle-Ville,2022,3.39301086189053,3.33207594618383,3.15894340790606,,,,,,,,,
Bâle-Campagne,2022,2.16454547880146,2.09650737746471,2.0024547079698,,,,,,,,,
Argovie,2022,3.06206531098894,3.00748493078095,2.83685500430549,,,,,,,,,
Zurich,2022,2.33688110058206,2.27222062062389,2.12515887920279,,,,,,,,,
Suisse orientale,2022,1.99935252339431,1.91419860961303,1.77043425427419,,,,,,,,,
Glaris,2022,1.56270518713066,1.48391332895601,1.31319763624425,,,,,,,,,
Schaffhouse,2022,2.87076930166118,2.79934566735018,2.69797018639265,,,,,,,,,
Appenzell Rh.-Ext.,2022,1.47730586062786,1.49350438980141,1.39955292059481,,,,,,,,,
Appenzell Rh.-Int.,2022,0.660472405686779,0.548527930146647,0.425389007052502,,,,,,,,,
Saint-Gall,2022,2.10427393794732,1.99993568189696,1.84950278533118,,,,,,,,,
Grisons,2022,1.37147900007204,1.16616238023197,0.985159570636121,,,,,,,,,
Thurgovie,2022,2.26154025037789,2.27381367647249,2.14978747593763,,,,,,,,,
Suisse centrale,2022,1.50829496901092,1.459513843822,1.34997408502724,,,,,,,,,
Lucerne,2022,1.71263986774184,1.66872602497923,1.53224869011895,,,,,,,,,
Uri,2022,1.02122547056468,0.981177412895474,0.986183420104125,,,,,,,,,
Schwytz,2022,0.988295911342084,0.986075021653674,0.878361871765829,,,,,,,,,
Obwald,2022,0.722355991850343,0.70383404334136,0.620485275050935,,,,,,,,,
Nidwald,2022,1.10363716921094,1.00696822008297,0.906271398074677,,,,,,,,,
Zoug,2022,2.02077538740989,1.90157234489414,1.83487540443889,,,,,,,,,
Tessin,2022,3.19654175307416,3.06101586003447,2.68189385752256,,,,,,,,,
Région lémanique,2021,5.17493872330511,5.0319399571598,4.66190241849784,4.49227711568042,4.25988926213588,3.92717642220178,3.87677619207242,3.86346292373637,3.73746234841299,3.61966369733235,3.58019936619333,3.83469675465311
Vaud,2021,5.03110311416022,4.90457381757651,4.58343957624713,4.35924698230033,4.15718498775601,3.85529474590704,3.83989954632271,3.89354219487436,3.68763140043395,3.55581000399313,3.48244225597406,3.66141145114189
Valais,2021,4.854929159267,4.45492691835809,3.73503493016768,3.63475425632637,3.25772133177217,2.74343273631785,2.5417509341789,2.48404752967804,2.38488731029305,2.46275889500782,2.67508501448187,3.46668608787724
Genève,2021,5.64818075473684,5.66315729823155,5.46360497545061,5.33569719857682,5.15678821953184,4.90340129445908,4.90340129445908,4.80949431903276,4.79856548999607,4.56298850853865,4.39865130154258,4.39217495840973
Espace Mittelland,2021,3.46114491002077,3.4271996847386,3.22235780803585,3.05780150041798,2.87607749265739,2.66391983464383,2.6149528717368,2.59680973408598,2.45176217663027,2.40435591373621,2.40981836378162,2.5114589521265
Berne,2021,2.91406107916789,2.89814775954449,2.75090583511702,2.62989465732153,2.45519788475259,2.2451770400526,2.16753403002196,2.15197045368699,2.03568081028525,2.00665211734587,2.02046697723871,2.07170436899316
Fribourg,2021,3.88155007967483,3.78109050599293,3.52012655596868,3.2684002678922,3.07267730537401,2.81806424793885,2.80593981663241,2.83307544860396,2.61772245444678,2.56171912888848,2.56229648276021,2.76379298399575
Soleure,2021,3.48402436027708,3.48203197120334,3.23896050420726,3.10281391750181,2.94342279160274,2.79930664860234,2.71296978874035,2.70765675121038,2.57350255357866,2.48450917495168,2.51041023291028,2.67179374788309
Neuchâtel,2021,5.11972866511393,5.0553295624081,4.70435445266129,4.40489862507916,4.17520849209501,3.91975871802853,4.00562418830298,3.92727194667754,3.74051454883062,3.64606253152873,3.55912374287585,3.71046163423456
Jura,2021,5.71632725973562,5.66136257454585,5.35081210322368,5.14469453376206,4.94956990133839,4.7352076290983,4.77093467447165,4.59779591612389,4.39717481518125,4.39442658092176,4.44389479759255,4.48786654574436
Suisse du Nord-Ouest,2021,3.82096935297195,3.81002964818544,3.68826597751811,3.53463447116833,3.39194266960506,3.23418895565456,3.11575476035705,3.07500832368842,2.93215797567898,2.80183279691786,2.78502687362263,2.90029013999651
Bâle-Ville,2021,4.36216618789233,4.323477352523,4.28188685450096,4.09811488649663,3.91627736026076,3.80504695857393,3.69188211511863,3.58742225962143,3.36979756066893,3.2440588457186,3.25373105456093,3.33304316706806
